ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20150420,230.0,245.7,229.0,234.03,232.56,1.47,0.63,130588.71,3118764.548
600519.SH,20150417,238.9,248.7,228.28,232.56,226.27,6.29,2.78,192094.91,4577503.916
600519.SH,20150416,208.55,226.27,207.83,226.27,205.7,20.57,10.0,86014.17,1877332.299
600519.SH,20150415,209.1,209.78,204.16,205.7,206.0,-0.3,-0.15,55005.2,1135635.917
600519.SH,20150414,204.0,209.28,203.96,206.0,203.9,2.1,1.03,81903.13,1691094.329
600519.SH,20150413,201.55,204.49,198.94,203.9,200.22,3.68,1.84,91356.09,1840018.389
600519.SH,20150410,199.99,202.99,199.61,200.22,200.0,0.22,0.11,102019.46,2048914.304
600519.SH,20150409,204.48,205.88,199.05,200.0,204.5,-4.5,-2.2,62399.73,1255308.054
600519.SH,20150408,202.5,210.68,201.59,204.5,200.67,3.83,1.91,135857.16,2798381.803
600519.SH,20150407,196.85,201.08,195.8,200.67,196.81,3.86,1.96,59824.33,1189027.078
600519.SH,20150403,194.0,197.01,192.78,196.81,194.58,2.23,1.15,51210.88,996536.046
600519.SH,20150402,195.96,197.6,192.88,194.58,195.34,-0.76,-0.39,62981.61,1228604.478
600519.SH,20150401,196.03,197.56,194.48,195.34,195.96,-0.62,-0.32,76875.23,1504959.693
600519.SH,20150331,196.68,200.77,194.02,195.96,196.77,-0.81,-0.41,88130.97,1746870.227
600519.SH,20150330,194.68,198.95,193.1,196.77,194.55,2.22,1.14,63451.39,1237889.229
600519.SH,20150327,198.0,198.56,192.95,194.55,198.56,-4.01,-2.02,40144.59,784086.654
600519.SH,20150326,193.55,199.9,192.0,198.56,192.78,5.78,3.0,67105.25,1315872.11
600519.SH,20150325,193.0,195.1,192.06,192.78,195.69,-2.91,-1.49,42240.3,815963.246
600519.SH,20150324,195.3,197.44,192.1,195.69,195.08,0.61,0.31,60079.44,1172628.507
600519.SH,20150323,194.67,196.75,193.2,195.08,193.15,1.93,1.0,40979.01,799009.923
